1	1605451764.897242109	224.0.0.251	172.17.0.3	0.000000000	72
2	1605451764.897444341	224.0.0.251	172.17.0.2	0.000202232	82
3	1605451765.441339904	224.0.0.251	172.17.0.3	0.543895563	72
4	1605451765.441513068	224.0.0.251	172.17.0.2	0.000173164	82
5	1605451766.079421569	224.0.0.251	172.17.0.3	0.637908501	72
6	1605451766.079589834	224.0.0.251	172.17.0.2	0.000168265	82
7	1605451766.721946043	224.0.0.251	172.17.0.3	0.642356209	72
8	1605451766.722122015	224.0.0.251	172.17.0.2	0.000175972	82
9	1605451767.351736197	224.0.0.251	172.17.0.3	0.629614182	72
10	1605451767.351908023	224.0.0.251	172.17.0.2	0.000171826	82
11	1605451767.931620703	224.0.0.251	172.17.0.3	0.57971268	72
12	1605451767.931784967	224.0.0.251	172.17.0.2	0.000164264	82
13	1605451768.514815411	224.0.0.251	172.17.0.3	0.583030444	72
14	1605451768.515045773	224.0.0.251	172.17.0.2	0.000230362	82
15	1605451769.089257918	224.0.0.251	172.17.0.3	0.574212145	72
16	1605451769.089407839	224.0.0.251	172.17.0.2	0.000149921	82
17	1605451769.684195564	224.0.0.251	172.17.0.3	0.594787725	72
18	1605451769.684396036	224.0.0.251	172.17.0.2	0.000200472	82
19	1605451770.262173317	224.0.0.251	172.17.0.3	0.577777281	72
20	1605451770.262327581	224.0.0.251	172.17.0.2	0.000154264	82
